Date,Not indexed,Indexed,Impressions
2025-12-11,,,41
2025-12-12,,,42
2025-12-13,,,24
2025-12-14,,,33
2025-12-15,38,9,70
2025-12-16,38,9,58
2025-12-17,38,9,55
2025-12-18,38,9,33
2025-12-19,38,9,50
2025-12-20,38,9,40
2025-12-21,38,9,36
2025-12-22,38,9,52
2025-12-23,38,9,40
2025-12-24,36,11,41
2025-12-25,36,11,25
2025-12-26,36,11,49
2025-12-27,36,11,25
2025-12-28,36,11,33
2025-12-29,36,11,61
2025-12-30,36,11,59
2025-12-31,36,11,56
2026-01-01,36,11,40
2026-01-02,36,11,57
2026-01-03,36,11,37
2026-01-04,35,12,20
2026-01-05,35,12,72
2026-01-06,35,12,42
2026-01-07,35,12,102
2026-01-08,35,12,98
2026-01-09,35,12,95
2026-01-10,35,12,86
2026-01-11,34,13,63
2026-01-12,34,13,64
2026-01-13,34,13,66
2026-01-14,33,14,71
2026-01-15,33,14,52
2026-01-16,33,14,55
2026-01-17,33,14,33
2026-01-18,33,14,31
2026-01-19,33,14,67
2026-01-20,33,14,42
2026-01-21,33,14,65
2026-01-22,33,14,58
2026-01-23,33,14,45
2026-01-24,33,14,48
2026-01-25,33,15,38
2026-01-26,33,15,117
2026-01-27,33,15,105
2026-01-28,33,15,79
2026-01-29,33,15,31
2026-01-30,33,15,64
2026-01-31,33,15,45
2026-02-01,33,15,50
2026-02-02,33,15,89
2026-02-03,33,15,85
2026-02-04,34,14,123
2026-02-05,34,14,78
2026-02-06,34,14,70
2026-02-07,34,14,89
2026-02-08,33,15,68
2026-02-09,33,15,82
2026-02-10,33,15,52
2026-02-11,33,15,116
2026-02-12,33,15,76
2026-02-13,33,15,78
2026-02-14,33,15,56
2026-02-15,35,13,67
2026-02-16,35,13,114
2026-02-17,35,13,131
2026-02-18,36,12,105
2026-02-19,36,12,110
2026-02-20,36,12,63
2026-02-21,36,12,39
2026-02-22,36,12,51
2026-02-23,36,12,77
2026-02-24,36,12,78
2026-02-25,37,11,92
2026-02-26,37,11,66
2026-02-27,37,11,77
2026-02-28,37,11,65
2026-03-01,37,11,54
2026-03-02,37,11,110
2026-03-03,37,11,85
2026-03-04,32,11,148
2026-03-05,32,11,160
2026-03-06,32,11,131
2026-03-07,32,11,71
